id_riesgo,fuente_evidencia,host,contenedor,activo,dueno_del_riesgo,clasificacion,expuesto,amenaza,vulnerabilidad,cve,cvss,probabilidad,impacto,riesgo_inherente,nivel,probabilidad_ajustada,riesgo_ajustado,nivel_ajustado,justificacion_ajuste
R-001,nuclei,172.20.0.4,si084_db,Base de datos ERP,Gerencia de Finanzas,Restringida,No,Explotación remota de vulnerabilidad conocida,Postgresql Empty Password - Detect,N/D,9.8,4,5,20,Crítico,4,20,Crítico,
R-002,Prueba autenticada,172.20.0.4,si084_db,Base de datos ERP,Gerencia de Finanzas,Restringida,No,Explotación remota de vulnerabilidad conocida,Credencial por defecto válida en PostgreSQL (postgres/postgres),N/D,9.8,4,5,20,Crítico,4,20,Crítico,
R-003,Prueba autenticada,172.20.0.4,si084_db,Base de datos ERP,Gerencia de Finanzas,Restringida,No,Explotación remota de vulnerabilidad conocida,Transmisión en claro: TLS no forzado en PostgreSQL (ssl=off),CVE-2021-23214,5.9,2,5,10,Medio,4,20,Crítico,"La fórmula automática asigna P=2 porque no modela rutas de movimiento lateral. si084_juiceshop está expuesto y comparte la red audit_net con si084_db: el compromiso del portal (ya calificado Crítico) coloca al atacante en la posición de adyacencia que esta vulnerabilidad requiere, y las credenciales del ERP viajan en claro. P real = 4."
R-004,nuclei,172.20.0.4,si084_db,Base de datos ERP,Gerencia de Finanzas,Restringida,No,Explotación remota de vulnerabilidad conocida,Postgres - Default Logins,N/D,7.5,3,5,15,Alto,3,15,Alto,
R-005,nuclei,172.20.0.4,si084_db,Base de datos ERP,Gerencia de Finanzas,Restringida,No,Explotación remota de vulnerabilidad conocida,Postgresql Default Database - Enumeration,N/D,7.5,3,5,15,Alto,3,15,Alto,
R-006,Prueba autenticada,172.20.0.4,si084_db,Base de datos ERP,Gerencia de Finanzas,Restringida,No,Explotación remota de vulnerabilidad conocida,La cuenta de servicio de la aplicación es superusuario,N/D,7.2,3,5,15,Alto,3,15,Alto,
R-007,nuclei,172.20.0.3,si084_juiceshop,Portal de clientes,Gerencia Comercial,Confidencial,Sí,Explotación remota de vulnerabilidad conocida,Prometheus Metrics - Detect,N/D,5.3,3,4,12,Alto,3,12,Alto,
R-008,Prueba autenticada,172.20.0.4,si084_db,Base de datos ERP,Gerencia de Finanzas,Restringida,No,Explotación remota de vulnerabilidad conocida,pg_hba.conf acepta md5 desde cualquier host de la red,N/D,5.0,2,5,10,Medio,2,10,Medio,
R-009,Prueba autenticada,172.20.0.4,si084_db,Base de datos ERP,Gerencia de Finanzas,Restringida,No,Explotación remota de vulnerabilidad conocida,Contraseñas almacenadas con md5 en lugar de scram-sha-256,N/D,4.3,2,5,10,Medio,2,10,Medio,
R-010,nuclei,172.20.0.2,si084_dvwa,App legada interna,Gerencia de Operaciones,Interna,No,Explotación remota de vulnerabilidad conocida,Sensitive Configuration Files Listing - Detect,N/D,5.3,2,3,6,Medio,2,6,Medio,
